country,2014,2015
Afghanistan,43.7,
Albania,6.47,
Algeria,88,
Andorra,0,
Angola,0.679,
Antigua and Barbuda,8.46,
Argentina,6.64,
Armenia,59.3,0.66
Australia,5.26,4.58
Austria,7.62,
Azerbaijan,53.1,
Bahamas,0,
Bahrain,206,
Bangladesh,3.79,
Barbados,87.5,
Belarus,4.54,
Belgium,56.5,
Belize,0.687,
Benin,0.708,
Bhutan,0.562,
Bolivia,0.526,
Bosnia and Herzegovina,1.43,
Botswana,2.09,
Brazil,1.32,
Brunei,1.88,
Bulgaria,40.6,41.8
Burkina Faso,9.49,
Burundi,3.09,
Cambodia,0.609,
Cameroon,0.476,
Canada,2.21,
Cape Verde,8.97,
Central African Republic,0.0698,
Chad,2.44,
Chile,5.5,
China,29.9,29.4
Colombia,0.856,
Comoros,1.17,
"Congo, Dem. Rep.",0.0904,
"Congo, Rep.",0.00914,
Costa Rica,3.06,
Cote d'Ivoire,2.71,
Croatia,0.979,
Cuba,25.6,
Cyprus,37.6,
Czech Republic,24,
Denmark,20.7,
Djibouti,7.9,
Dominica,10,
Dominican Republic,43.7,
Ecuador,3.74,
Egypt,160,
El Salvador,11.4,
Equatorial Guinea,0.101,
Eritrea,10.1,
Estonia,22.5,
Ethiopia,11.6,
Fiji,0.45,
Finland,10.5,
France,22.8,
Gabon,0.122,
Gambia,1.45,
Georgia,4.57,
Germany,41.5,
Ghana,2.79,
Greece,19.7,
Grenada,7.05,
Guatemala,3.76,
Guinea,0.327,
Guinea-Bissau,0.71,
Guyana,0.862,
Haiti,15.6,
Honduras,2.49,
Hungary,8.2,
Iceland,2.64,0.244
India,44.5,
Indonesia,9.24,
Iran,90,
Iraq,93.1,
Ireland,2.38,
Israel,110,
Italy,44.8,
Jamaica,11.3,
Japan,28.5,
Jordan,118,151
Kazakhstan,28.1,
Kenya,14.3,
Kuwait,2600,
Kyrgyz Republic,44,
Lao,1.39,
Latvia,1.1,
Lebanon,33.3,
Lesotho,2.13,
Liberia,0.0789,
Libya,1070,
Lithuania,3.97,
Luxembourg,2.46,
"Macedonia, FYR",13.2,
Madagascar,5.76,
Malawi,11.1,
Malaysia,3.41,
Maldives,15.7,
Mali,5.82,
Malta,44.4,
Mauritania,15.9,
Mauritius,26.4,
Mexico,24.1,25.9
Moldova,13.2,
Mongolia,2.43,
Morocco,49,
Mozambique,0.928,
Myanmar,3.7,
Namibia,0.934,
Nepal,5.86,
Netherlands,21.1,
New Zealand,2.75,
Nicaragua,1.35,
Niger,3.75,
Nigeria,5.83,
North Korea,15.9,
Norway,1.15,
Oman,106,
Pakistan,103,
Palestine,48.7,
Panama,1.05,
Papua New Guinea,0.0882,
Paraguay,0.933,
Peru,1.16,
Philippines,25.1,
Poland,37.8,
Portugal,17.1,
Qatar,473,
Romania,5.1,
Russia,2.01,
Rwanda,1.44,
Sao Tome and Principe,0.46,
Saudi Arabia,1240,
Senegal,7.23,
Serbia,4.28,
Sierra Leone,0.178,
Singapore,31.7,
Slovak Republic,1.91,
Slovenia,6.13,
Solomon Islands,0,
Somalia,30.3,
South Africa,42.9,
South Korea,57.6,
South Sudan,1.33,
Spain,49.7,
Sri Lanka,34.1,
St. Kitts and Nevis,51.3,
St. Lucia,14.3,
St. Vincent and the Grenadines,11.2,
Sudan,93.7,
Suriname,0.957,
Swaziland,32.3,
Sweden,2.88,
Switzerland,7.37,
Syria,109,
Tajikistan,71.4,
Tanzania,7.45,
Thailand,17.5,
Timor-Leste,14.3,
Togo,1.77,
Trinidad and Tobago,12.3,
Tunisia,94,
Turkey,27.5,
Turkmenistan,163,
Uganda,1.33,
Ukraine,13.9,
United Arab Emirates,2350,
United Kingdom,9.67,
United States,22.6,
Uruguay,3.52,
Uzbekistan,139,
Vanuatu,0,
Venezuela,2.58,
Vietnam,12.8,
Yemen,228,
Zambia,2.14,
Zimbabwe,24.3,
