geo,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,49,69,0,0,130,191,112,259,272,1330,660,532,131,220,216,166,131,0,0,86,84,0,67,0,0,0,0,0,
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,1,5,1,5,1,1,0,0,0,0,0,0,0,1,0,0,0,2,1,3,2,4,5,7,0,0,0,0,2,9,4,2,7,0,4,0,0,1,0,0,0,0,0,0,
Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1020,1330,1540,1690,1680,0,0,0,0,0,0,2440,1550,998,981,1100,1220,1240,1410,1510,1730,1690,1770,1900,1620,1410,1530,1500,1510,1440,1610,1700,1700,1930,2150,2600,2840,2780,2230,2020,1950,1730,1780,1780,1810,1770,2090,2140,2300,2240,
Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,64,0,0,49,45,62,86,96,203,250,933,288,179,164,114,97,96,98,88,67,70,60,0,0,58,0,56,55,43,39,54,34,33,38,34
Australia,85,114,127,115,117,129,125,127,150,149,151,142,165,148,168,163,154,163,191,157,191,233,221,256,245,227,285,272,258,265,280,282,299,274,314,314,311,346,335,307,374,340,301,326,323,298,323,317,295,296,306,308,286,248,155,0,248,211,240,261,232,245,286,248,250,265,
Austria,0,0,0,0,0,64,105,80,65,81,85,75,70,61,71,71,79,73,67,84,112,102,93,102,116,124,94,98,106,96,91,95,117,129,134,107,99,97,93,87,125,99,118,106,94,84,96,69,91,68,75,77,68,47,59,65,66,51,46,57,43,46,34,35,38,49,42
Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,190,0,0,159,205,178,232,154,424,352,3760,3040,4620,665,541,459,444,375,247,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,
Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,19,0,0,0,35,24,19,0,9,25,35,0,26,0,0,0,0,0,35,56,42,41,47,49,53,61,50,51,50,43,55,59,83,76,88,102,129,129,125,0,0,
Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,0,0,0,0,0,0,0,3,2,2,9,4,1,0,0,2,0,0,0,0,0,0,4,5,6,0,
Barbados,0,0,0,0,0,0,0,0,0,0,6,4,2,1,10,0,5,10,8,5,5,5,9,14,9,10,12,9,9,11,14,11,13,15,13,19,9,22,18,17,34,21,22,21,20,17,0,0,0,0,28,28,30,24,25,19,46,30,49,21,28,11,0,1,0,0,
Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470,582,0,0,467,406,451,545,692,712,663,898,1080,1090,1220,0,1220,1240,1120,1140,1120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Belgium,0,0,0,0,59,61,63,58,54,58,58,64,52,60,54,68,70,72,79,81,106,98,119,106,101,89,91,88,103,158,148,137,146,176,164,200,210,156,154,135,144,142,168,201,184,169,202,177,204,250,167,186,193,142,176,160,144,157,124,128,115,142,130,109,113,119,
Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,4,6,0,0,2,0,0,18,49,40,57,54,66,59,40,47,47,35,36,83,114,121,128,115,114,112,
Bolivia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,6,18,0,0,0,0,0,0,0,0,0,0,0,0,
