geo,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.5,0,0,0,0,0,54.1,0,0,42.6,0,0,35.8,0,0,0,39.1,0,0,0,
Algeria,0,0,0,0,0,0,0,0,0,0,0,57.8,0,0,0,0,0,0,55.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.2,0,0,0,0,
Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.4,0,0,0,0,0,0,0,
Argentina,0,0,0,1.7,0,0,0,0,0,0,1.8,0,0,0,14.2,14.9,15,15.7,20.5,22.3,21.3,23.2,24.2,26.3,31,44.2,30.3,25.9,21.7,17.5,16.6,14.9,13.8,11.1,8.9,8.5,8.3,9.1,0,7.8
Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.2,0,84.4,83.5,83,74.4,68.7,64,57.1,53.5,62.1,63.4,60.8,56.5,54.6,52.3,48.3,43.5
Australia,0,0,0,0,1.7,0,0,0,1.7,0,0,0,1.7,0,0,0,0,0,1.7,0,0,0,0,0,1.3,0,1.7,0,0,0,0,0.7,0,0.7,0,0,0,0,0,
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.2,0.5,0.5,0.7,1,1,0.7,1,1,0.5,0.7,0.9,
Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.5,0,0,0,0,0,53.1,12.6,13.7,8.3,7.8,0,0,0,0,0,0,0,0,0,0,
Bangladesh,0,0,0,0,0,0,96.2,0,94.6,0,0,95.8,0,0,96.9,0,0,0,92.7,0,0,0,0,91.6,0,0,0,0,89.3,0,0,0,0,87.7,0,0,0,0,0,84.5
Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.8,71.4,65.2,49,41.9,38.3,26.7,16.6,11.3,7.2,5.3,5,3.4,2.5,1.1,0.7,0.4,0.7,0.7
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.2,0.5,0.5,0.2,0.2,0.2,0.5,0.5,0.5,0.5,0.2,0.2,
Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.4,52.2,0,55.6,58.3,56.6,53.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Benin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.1,0,0,0,0,0,0,0,90,0,0,0,90.6,
Bhutan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.8,0,0,0,61.3,0,0,0,0,43.9,0,0,0,
Bolivia,0,0,0,0,0,0,0,0,0,0,0,0,0,49.7,0,0,0,0,0,0,52.6,0,54.8,62.1,57.4,59.6,0,53.1,52.1,48.1,46.4,39.2,35.1,0,28.3,28.3,26,24.9,25.6,25
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.3,0,0,4.4,0,0,2.9,0,0,0,3.9,0,0,0,3.8,
Botswana,0,0,0,0,0,0,0,0,81.6,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,66.7,0,0,0,0,0,0,57.5,0,0,0,0,0,0,
Brazil,0,0,0,0,60.4,60.1,66.6,66.7,61.5,42.4,52.9,55,52.1,57.8,0,58.2,56.8,0,45,45.7,45.7,44.6,45.9,0,41.3,40.4,41.7,40.3,38.1,34.2,32.1,28.9,27.4,0,24,20.8,19.5,17.9,19.4,
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5,11.5,8.5,8.4,11,11.2,11,11.2,8.7,0,
Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.2,0,0,0,96.3,0,0,0,0,93.1,0,0,0,0,0,94.2,0,0,0,0,92.3,0,
Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.9,0,0,0,0,0,98,0,0,0,0,0,0,0,98.3,0,0,0,0,0,0,96.8,0,0,
Cameroon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.7,0,0,0,0,79.5,0,0,0,0,0,79.6,0,0,0,0,0,0,69,0,
