country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,,,,,27.1,,,,,,,,,,,,,,,,,,,28.2,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.3,95.9,94.3,,92.1,91.3,,,,87.2,85.7,86.3,87.2,90.5,94.4,96.2,95.6,95.7,
Algeria,,,,67.5,71.4,73.8,75.8,77.4,78.4,78.5,79.6,79.9,79.6,78.9,79.9,80.2,81.4,82.7,83.8,84.9,85.4,87.1,88.2,87.7,87.7,87.9,87.4,86.9,,89.7,90.5,92.6,93.9,94.4,95.2,95.5,95.7,95.9,97.2,99,98.9,99.1,99.1,,,99.3,99.2,
Angola,,,,,,,,,,,,,43.3,40.2,,,,,,,,,,,,,,,45,,,,,,,,,,74.9,74.1,75.3,77.5,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.4,84.9,84.2,81.4,79.5,77.9,,77.6,81.5,,
Argentina,95,,,,96.6,96.4,,,,,,,,,,,,94.5,,,,96.3,,,,,,100,99.9,99.8,99.5,,,99.5,99.2,99.3,99.5,99.6,99.4,99.4,99.1,99.1,99.2,99.4,99.7,99.7,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.1,85.5,,88.6,92.2,97.1,,,,,,,,92.8,92.3,
Australia,,96.2,,94.8,94.2,96.9,98,100,100,100,100,99.8,98.7,97.7,95.9,96,96.6,97.1,97.8,97.9,97.5,96.9,96.7,96.3,96,94.6,95,94.6,94.6,94.2,94.2,94,94.1,94.8,95.1,95.6,95.8,96.6,96.7,96.8,97.1,97.8,97.7,97.5,97.1,97.1,96.8,
Austria,,91,90.2,88.8,87.9,87.6,87,,,,,,,,,,,,,94.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,96.2,96.1,91.3,83.3,84.7,93.5,90.1,88.7,92.1,88.2,85.5,84.9,83.3,84.3,84,83.8,83.5,84,85.5,84.7,87.3,89.3,93.7,94.8,94.3,95,
Bahamas,,100,99.9,96.4,99.4,100,98.9,,,,97.2,100,,,95.9,,,,,,,,88.5,88.9,92.6,,,,,91.3,,,,,94.4,98.6,97.1,98.7,98.6,96.2,97.8,,,,,,88.4,
Bahrain,,76.3,79.2,80.3,81.9,85.3,82.1,82.1,80.1,80.7,82.4,82,80.6,83.3,86.6,91.1,96.1,95.5,98.3,99.1,,99.4,97,98,97.9,99.1,99.9,99.6,99.9,99.5,97.9,94.9,94.4,93.4,92.9,90.2,91.9,,,,,91.9,92.7,93.7,95.7,98,97.9,
Bangladesh,50.8,,,70.4,,,76.2,71.3,70.6,,,67.5,,64.4,63,61.1,60.1,59.1,69.4,69.4,72.3,,,,,,,,,,,,,,,95.2,95.6,,92.6,93.5,94.9,,,,,,,
Barbados,,86.4,88.1,88.7,,,98.8,98.3,98.2,98.9,,94.6,94.5,96.3,,,,,,99.7,97.6,,89.7,,,,,,,97.2,95.6,94.6,91.9,91.7,90.5,90.3,92.1,94.8,96.8,93.8,95.1,93.6,,,91.5,92.5,93,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,87.6,,,,,,96.5,93.5,93.7,92.1,90.2,90.2,90,,91.9,91.4,91,94.3,93.2,93.4,94.6,96.4,
Belgium,,,,,,,,96.3,,97.6,98.2,97,97.1,94,93.3,92.9,94.3,95.7,96.9,,,96.5,95.1,97.7,97,97.1,97.5,,,99.1,99.2,99.2,98.9,98,96.4,96,96.3,97.2,97.8,97.8,97.5,97.7,98,98,98,98.4,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.2,96.3,93.5,,93.9,95.5,95.1,95.7,95.3,96.3,97.1,98,97.7,99.6,98.9,99.2,99.2,99.2,
Benin,,,,,,,,,,,,,,,50.1,50.8,48.9,,48.4,48.9,39.5,,49.2,53.2,54.5,56.9,59.1,62.5,,,,,,84.5,87.6,83.7,86.8,,90.1,94.2,94.9,94.8,95.5,,96.4,,,
Bhutan,,,,,,,,,21.8,24.6,,,,,,,,,,,,,,,,,,,53.2,54.2,57,60.3,,,,70.3,74.1,,79.6,84.1,86.2,86.9,88.7,87.4,,84.6,83,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.3,95.4,96.1,96.3,96.6,97.1,96.9,97,96.9,96.7,95,98,95.6,93.3,89.9,89.5,89.3,89.9,90.9,
Botswana,43.3,40.6,42.1,45.5,49.8,56.2,60.7,65,66,67.7,72,76.3,,80.2,80.6,82.5,83.6,84.5,85,85.5,85,87,86.5,86.2,86.5,78.7,79.9,,83.6,83.1,84.2,85.8,86,85.9,86.7,85.9,86.9,86.2,85.7,86.5,,,92.8,93.5,89.5,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.1,,98.9,96.7,94.3,95.6,96.1,,92.5,98.5,96.6,,95.7,95.5,93.8,94.7,94.8,,
Brunei,,,,,,,,89.6,89.8,80,79.9,76.1,74.6,75.9,76.9,,80.1,,,,,89.9,91.7,94.3,94.4,98,,,,,,,,,,,,,,97.3,,,96.7,97.4,96.4,96.3,96.6,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,93.9,95,97.5,97.6,97.1,97.1,96,96.3,96.9,95.7,96.7,99.5,99.7,99.3,99.5,99.5,97.8,96.4,95.8,94.8,93.2,
Burkina Faso,,10.1,10.5,,,,,12.6,13,13.5,14.3,15.3,16.8,18.1,19.4,21.5,23.5,25.1,25.6,25.9,,27.2,27.7,28.7,29.9,31.5,,,35,35.5,36.7,37.8,36.7,39,41.1,46,49.6,55,61,63.9,60.2,64.9,66.1,67,68.3,70,75.9,
Burundi,,,,18.8,,,,,17.4,,19.2,21.2,24.6,31,35.9,40.2,42.7,47.7,50.2,,,,,50.2,,,,,,,42.3,51.2,50.6,54.1,55.7,58.9,75.7,82.8,93.4,91.6,97,,,,,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.1,85,86.9,92.7,,,97.7,,,94.9,95.9,94.6,,93.6,97.5,97.4,,95.1,95.3,92.8,
Cameroon,,64.5,63.4,61.7,59.5,66.2,67.7,66.4,67.8,68.7,69,,,,,,,,74.8,,74,72.1,,,,,,,,,,,,,,,,,86.5,89.2,,91.1,94.1,,94.8,,95.3,
Canada,,,,,,,,,,,,,95.6,95.3,94.7,94.6,94.9,95,94.9,95.2,95.2,97.7,97.5,95.9,95.3,94.2,95.1,,98.4,99.7,99.9,,,,,,,,,,,,99.5,99.4,99.4,99.6,100,
Cape Verde,,,,,,,,,,,,88.9,87.5,84.4,90.9,93.7,94.9,96.1,99.6,,99.2,,,,99.1,,,,99.8,,99.6,98.3,97.9,97.3,95.3,94.6,93.6,92,89.9,88.5,87.5,86.6,87.1,86.8,87,87,86.4,
Central African Republic,,49.8,52.3,54.5,,,,50.6,50.5,,,55.2,56.9,58.5,,,61,50.6,48.3,48.4,57.3,53,,,,,,,,,,,,,,47.8,48.2,56.2,65.1,65.4,67.7,65.7,68.4,,,,,
Chad,,,,,,24.2,,24.7,,,,,,,,,,,33.4,,,,,,,,37.4,42.7,47.9,49.8,51.5,52.7,56.2,57.7,,,,,,,,62.9,,78.9,,,,
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.4,95.1,92.9,93.3,92.1,91.5,90.7,90.8,91.6,92.9,
China,,,,,,,,,,,,,,,,,,94.1,95.5,96.5,96.9,96.2,94.8,93.4,91.8,90.3,89.4,89.1,,,,,,,,,,,,,,,,,,,,
Colombia,,,,,,,,,,,,,70.7,,69,67.6,65.6,66.1,65.6,65.4,,67.9,75.5,76.4,77.5,81,86.3,,93.9,96.3,97.5,97.1,97.6,,97.2,97.5,96.4,95.8,96.3,96.9,97.2,97.3,94.4,93.1,92.3,93.2,93.6,
Comoros,,,,,,,,,,,,,,87.3,,,83.5,75.6,,,,,,,69.2,,,,,60.8,67.5,,,,,,,79.2,,,,,,86.7,82.7,,,
"Congo, Dem. Rep.",,69.3,67.6,,,70.2,,,,73.2,,,,75.7,76.3,,,,64.5,,,61.4,59.7,58.7,59.9,67.8,,,,36.8,,,,,,,,,,,,,,,,,,
"Congo, Rep.",,,82.2,,88.5,,91.6,,95.1,95.4,87.2,86.2,86.8,87.2,88.4,,,,,,,,,,,,,,,,,,,,,51.3,54.6,,,,84.5,,87.2,,,,,
Costa Rica,87.7,,89.7,90.6,,90.3,91.8,,90.3,89,89.2,89.9,88.3,,,86.1,87.1,87.3,,87.7,87.7,88.3,90.3,91.1,90.7,92.4,94.9,,,,,,,,,,,,,,,99.4,99.5,98.5,96.4,96.5,96.8,
Cote d'Ivoire,,,,,,,,48.8,,,,,,,,,,,,,,47.7,48.1,,,,53.6,54.7,,56.8,55.9,60,60.2,55.8,,,,,,56.1,,,,69.4,74,77.7,87.7,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,92.6,93.9,96.2,98.3,99.7,,98.9,98.9,98.8,97.2,91.5,94.8,97,98.5,98.3,98.3,98.3,97.6,
Cuba,,,93,94.5,95.4,,,,,98.3,97.6,95.4,94.3,94.4,93,91.2,91.5,93.1,92.8,92.9,92.5,92.1,94.3,95.1,97.4,97.3,99.2,99,98.7,98.8,98.1,97.4,97,94.9,94.7,94.4,94.5,96.7,97.6,99.8,100,100,99.6,99.6,96.6,95.5,,
Cyprus,,79.7,78.4,78.3,77.6,71.2,69,68.1,68.9,69.6,68.7,71.2,67.9,68.1,68.4,69.2,73.8,77.9,79.3,79.5,78.8,79.2,77.4,97.6,96.9,96.2,96.1,96.3,,98,98.1,97.5,98.5,98.6,98.8,99.7,99.5,99.3,99,99.1,99.3,99.3,98.2,97.5,97.1,97.8,,
Denmark,,,,,,,,,,,,95.5,96.3,98,99,98.8,98.7,98.9,99,97.8,97.7,98.3,97.4,97,98.7,98.3,98.1,,99.4,97.9,98.1,99.8,99.9,,98.3,96.2,96.5,97.1,96.5,96.4,96.3,97.8,98.2,98.7,98.4,98.7,99,
Djibouti,,,,,,,,,,,,,,,,25.1,26.7,26.9,26.8,26.7,27.2,27.3,28.5,26.2,27.1,28.1,28.1,27,,26.9,27,29.7,31.4,,35.3,36.9,39.9,43.3,46.6,45.8,,54,,54.1,61.9,55.6,52.4,59.1
Dominica,,,,,,98.5,92.9,92.5,,86.8,86,84.3,87.7,,,,,,,,,,,,,,,,,,98.4,97.3,98.7,98,98.4,95.5,93.8,89.3,89.7,97.2,,,,,,,98.2,
Dominican Republic,,,74.3,,,,,,,,,,,,,,,,,,,,,,,,,,,83.9,84.8,,90.6,87.5,82.5,84.1,82.6,88.7,85.2,94.9,92.2,91.2,89.3,88.1,85.8,88.7,87.8,
Ecuador,,79.8,,80.4,81.4,80.8,81.3,84.4,86.3,89.5,88.1,,,,,,,,,,,,,,92.3,92.7,93.7,96.1,96.5,96.3,97,98.6,99.4,99.3,,99.4,99.5,99.4,,97.2,96.8,97,96.7,96.4,98.1,98,98.2,97.9
Egypt,,63.7,64.1,63.9,,,,,65.6,,,,,,,,,,,,,,,,84.9,,,85.8,,83.9,86.1,87.5,89,90.8,93,93.5,91.7,97.2,,98.1,99,95.3,96.9,,96.7,,98.6,
El Salvador,64.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.3,,91.3,91.8,93.5,93.5,,96.6,96.5,95.8,96,96,96.1,95.9,95,92.1,89.6,87,85.5,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,63.3,,,,,,64.8,71.5,69.2,67.1,,,,,46.8,45.6,44.8,45.8,47.2,,,44.2,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,21.2,,24.3,25.4,27.2,27.6,,33.4,39,41.3,47,52.1,55,56.7,56,50.9,47.3,43.8,41.4,44,46.2,44.2,44.3,42.6,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,87,90.6,,99.2,99.1,99,98.9,98.9,97.2,96.3,96.1,95.7,96.8,96.3,96.1,99.1,99.6,99.6,98.3,94.2,93.6,,
Ethiopia,,,,,,,,,,,,,,,,,,29.3,29.9,28.6,,,,,19.1,21.8,26.1,,33.5,36,40.1,44.3,46.6,47.4,50.2,61.2,65.8,71,76.6,76.2,74.3,78.3,79.5,,86.3,86,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,96.7,,97,95.5,93.1,93.6,94.5,94.2,94.9,97.9,99.2,99.3,99.2,,99.1,99.6,99.3,99.4,,99,98.7,97.1,,98,,
Finland,,,81.1,,,,,,,97,,,,,,,,,,,,,,98.8,98.6,98.3,98.4,98.7,99.5,99.8,99.7,99.8,99.4,98.7,97.7,97.3,96.8,97.4,97.9,98,98.3,98.6,99.1,99.1,99.4,99.2,99.1,
France,,97.1,97.3,97.5,97.9,,97.5,97.8,,99.9,99.8,100,98.6,96.3,,95.5,98.2,99.9,99.8,,100,100,99.6,98.1,97.9,98.8,99.7,99.6,,99.7,99.6,99.6,99.6,99.4,99.1,99.3,99.2,99.2,99.2,99.3,99.3,99,98.9,99.2,99.2,99.3,,
Gabon,,,,,,99.2,,,,,,,,,,,,,,,,,,,,,,91.3,,,,,,,,,,,,,,,,,,,,
